"";"FranjaHoraria";"Dia";"Malo";"PrimerCredito";"MedioOrigen";"Sexo";"Edad";"EstadoCivil";"Region";"TipoConvenio";"RubroLaboral";"DeudaTC";"DeudaTC_cat";"AtrasoTC";"LimiteUtilizadoTC";"EstadoCuentaTC";"CantAtraso1mTC";"CantAtraso3mTC";"MaximoAtrasoTC";"TieneTC";"CapitalPrestado";"Cuotas";"MontoCuota";"MontoTotal";"ProgramaFidelidad";"PeorCalificacionBCU";"PeorCalificacionBCU_cat";"MejorCalificacionBCU";"MejorCalificacionBCU_cat";"PromedioCalificacionBCU";"DeudaVigenteBCU";"ContingenciasBCU";"PrevisionesBCU";"DeudaMorosaBCU";"DeudaCastigadaBCU";"CantidadInstitucionesBCU";"FueDenegadoAnteriormente";"DiasUltDenegacion";"ContOutBoundCobranza";"ContactosInBound";"DeudaCreditos";"CantCredAtraso0";"CantCredAtrasoMedio";"CantCredAtrasoMayor";"CantCuotasAtraso";"CantCuotasAbiertas";"MontoCreditosAbiertos";"MontoAPagarMensual"
"86";"Horas-Casa";"Viernes";"1";"Nuevo";"Web";"Hombre";46;"Casado";"Sin Identificar";"Alianza";"ComerciosYAlojamientos";0;"Sin deudas";0;0;"Activa";0;0;0;"1";2781,18980410411;10;466,38757056078;4663,87452414533;"0";"1C";"1C";"1C";"1C";1;7888,06151087983;0;39,4395890803664;0;0;1;"1";554;0;0;0;0;0;0;0;0;0;0
"87";"Horas-Casa";"Viernes";"0";"Nuevo";"Web";"Hombre";63;"Soltero";"Sin Identificar";"Sin Convenio";"ServiciosVarios";0;"Sin deudas";0;0;"Activa";0;0;0;"1";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"1C";"1C";"1C";"1C";1;31147,0452303267;0;155,73504073898;0;0;1;"0";0;0;0;0;0;0;0;0;0;0;0
"88";"Horas-Casa";"Viernes";"1";"Nuevo";"Web";"Hombre";33;"Casado";"Canelones";"Sin Convenio";"Otros";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;7;584,167891941522;4089,1740983416;"0";"5";"Otros";"5";"Otros";6;0;0;0;0;4704,84608527612;1;"0";0;0;0;0;0;0;0;0;0;0;0
"89";"Horas-Dormir";"Sábado";"0";"Nuevo";"Web";"Hombre";34;"Casado";"Sin Identificar";"Sin Convenio";"Industria";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1390,59490205206;7;297,081056899302;2079,56746393192;"0";"5";"Otros";"3";"Otros";5;231,837664411949;1239,32135329049;7882,20015336768;9745,16160238145;0;2;"0";0;0;0;0;0;0;0;0;0;0;0
"90";"Horas-Trabajo";"Sábado";"0";"Nuevo";"Web";"Mujer";33;"Soltero";"Sin Identificar";"Sin Convenio";"AgroYLimpieza";865,791338992121;"Con deudas";-8;15;"Activa";0;0;0;"1";1854,12653606941;7;392,776659149467;2749,43556951575;"0";"1C";"1C";"1C";"1C";1;556,237960820823;1483,30122885553;10,1976959483817;0;0;1;"0";0;0;0;0;0;0;0;0;0;0;0
"91";"Horas-Trabajo";"Sábado";"0";"Nuevo";"Web";"Hombre";26;"Soltero";"Canelones";"Sin Convenio";"Transporte";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1854,12653606941;8;359,663655587141;2877,31004139212;"0";"1C";"1C";"1C";"1C";1;16080,2832093692;5,5670149245484;80,2141492667028;0;0;2;"1";829;0;0;0;0;0;0;0;0;0;0
"92";"Horas-Trabajo";"Sábado";"1";"Nuevo";"Web";"Hombre";56;"Divorciado";"DptoCentroSur";"Sin Convenio";"Otros";0;"Sin deudas";0;0;"Activa";0;0;0;"1";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"5";"Otros";"3";"Otros";4;141921,663621089;4735,13555990099;24640,3427536911;0;1108,30413693549;4;"1";52;0;0;0;0;0;0;0;0;0;0
"93";"Horas-Dormir";"Lunes";"0";"Nuevo";"Web";"Hombre";30;"Casado";"Sin Identificar";"Sin Convenio";"PublicosYOngs";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1854,12653606941;7;392,776659149467;2749,43556951575;"0";"1C";"1C";"1C";"1C";1;6841,00149108888;5763,23713586062;141,458266411245;0;0;2;"1";675;0;0;0;0;0;0;0;0;0;0
"94";"Horas-Dormir";"Lunes";"1";"Nuevo";"Web";"Hombre";30;"Casado";"Sin Identificar";"Alianza";"PublicosYOngs";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"5";"Otros";"5";"Otros";6;0;0;0;0;1068,39869856293;1;"1";57;0;0;0;0;0;0;0;0;0;0
"95";"Horas-Dormir";"Lunes";"1";"Nuevo";"Web";"Mujer";35;"Divorciado";"DptoNorte";"Sin Convenio";"PublicosYOngs";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2317,65817008676;9;415,327597628004;3737,94922627214;"0";"5";"Otros";"3";"Otros";4;8467,09595746162;2535,47168491151;1806,46389580157;0;4215,59771620349;3;"1";131;0;0;0;0;0;0;0;0;0;0
